ROLL NUMBER,Supplier Roll No,Product code,CO. NAME,Type,Quality,Size,Quality1,Gm,Mtr,GW,C.W.,N.W,AVG.,Actual GM,Date,CH NO. (TEMP-1),PARTY NAME,Branch
40001,9421,Eco222,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.00,5420,245.40,0.8,244.60,45.13,2.05,03/10/2022,SPC,44989,Polysquare Guntur
40002,9415,Eco222,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.00,4710,214.80,0.8,214.00,45.44,2.07,03/10/2022,SPC,44989,Polysquare Guntur
40003,10290,Eco192.5,SPC, Tube , Eco ,19.00,Semi Gold-SG,2.50,5240,240.90,0.5,240.40,45.88,2.41,03/10/2022,S R Plastics,44917,Polysquare Guntur
40004,10283,Eco192.5,SPC, Tube , Eco ,19.00,Semi Gold-SG,2.50,4385,204.50,0.5,204.00,46.52,2.45,03/10/2022,S R Plastics,44917,Polysquare Guntur
40005,10298,Eco222.5,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.50,4310,230.30,0.8,229.50,53.25,2.42,03/10/2022,Sri Renuka Yellamma Polypacks,45035,Polysquare Guntur
40006,10295,Eco222.5,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.50,4715,254.90,0.8,254.10,53.89,2.45,03/10/2022,Sri Renuka Yellamma Polypacks,45035,Polysquare Guntur
40007,8692,SuEco263,SPC, Tube , SuperEco ,26.00,Silver-SS,3.00,2398,183.80,0.75,183.05,76.33,2.94,03/10/2022,SPC,45064,Polysquare Guntur
40008,8693,SuEco263,SPC, Tube , SuperEco ,26.00,Silver-SS,3.00,2321,173.40,0.75,172.65,74.39,2.86,03/10/2022,SPC,45064,Polysquare Guntur
40010,9073,Eco363,SPC, Tube , Eco ,36.00,Semi Gold-SG,3.00,1500,160.00,3,157.00,104.67,2.91,03/10/2022,SSV MART,44929,Polysquare Guntur
40011,7886,SuEco283,SPC, Tube , SuperEco ,28.00,Silver-SS,3.00,2213,186.00,0.8,185.20,83.69,2.99,03/10/2022,Bhavani Enterprises,45005,Polysquare Guntur
40012,7836,SuEco283,SPC, Tube , SuperEco ,28.00,Silver-SS,3.00,1745,146.00,1.2,144.80,82.98,2.96,03/10/2022,Bhavani Enterprises,45005,Polysquare Guntur
40013,7882,SuEco283,SPC, Tube , SuperEco ,28.00,Silver-SS,3.00,2044,174.40,0.8,173.60,84.93,3.03,03/10/2022,Bhavani Enterprises,45005,Polysquare Guntur
40014,10167,Eco222.25,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.25,5000,239.70,0.7,239.00,47.80,2.17,03/10/2022,SPC,44989,Polysquare Guntur
40015,10171,Eco222.25,SPC, Tube , Eco ,22.00,Semi Gold-SG,2.25,4440,218.40,0.7,217.70,49.03,2.23,03/10/2022,SPC,44989,Polysquare Guntur
40009,9072,Eco363,SPC, Tube , Eco ,36.00,Semi Gold-SG,3.00,1450,157.60,2.8,154.80,106.76,2.97,03/10/2022,SSV MART,44932,Polysquare Guntur
40016,10097,Eco442.5,SPC, Tube , Eco ,44.00,Semi Gold-SG,2.50,1500,158.10,4,154.10,102.73,2.33,03/10/2022,SPC,45064,Polysquare Guntur
40017,3555,SuEco223,SPC, Tube , SuperEco ,22.00,Silver-SS,3.00,2416,157.80,0.65,157.15,65.05,2.96,03/10/2022,SPC,45064,Polysquare Guntur
40018,3549,SuEco223,SPC, Tube , SuperEco ,22.00,Silver-SS,3.00,2482,159.90,0.65,159.25,64.16,2.92,03/10/2022,SPC,45064,Polysquare Guntur
40019,3550,SuEco223,SPC, Tube , SuperEco ,22.00,Silver-SS,3.00,2508,164.70,0.65,164.05,65.41,2.97,03/10/2022,SPC,45064,Polysquare Guntur
40020,3562,SuEco242.5,SPC, Tube , SuperEco ,24.00,Silver-SS,2.50,2612,159.60,1,158.60,60.72,2.53,03/10/2022,VSR Industries,44841,Polysquare Guntur
40021,3566,SuEco242.5,SPC, Tube , SuperEco ,24.00,Silver-SS,2.50,2355,141.50,0.7,140.80,59.79,2.49,03/10/2022,VSR Industries,44841,Polysquare Guntur
40022,3560,SuEco242.5,SPC, Tube , SuperEco ,24.00,Silver-SS,2.50,2335,143.90,0.7,143.20,61.33,2.56,03/10/2022,VSR Industries,44841,Polysquare Guntur
40023,3558,SuEco242.5,SPC, Tube , SuperEco ,24.00,Silver-SS,2.50,1992,120.90,0.7,120.20,60.34,2.51,03/10/2022,VSR Industries,44841,Polysquare Guntur
40024,3655,Reg262.5,SPC, Tube , Regular ,26.00,Platinum-PLT,2.50,4063,269.80,1.6,268.20,66.01,2.54,03/10/2022,SPC,45064,Polysquare Guntur
40025,3573,SuEco282.5,SPC, Tube , SuperEco ,28.00,Silver-SS,2.50,2402,168.00,0.8,167.20,69.61,2.49,03/10/2022,SPC,45064,Polysquare Guntur
40026,3576,SuEco282.5,SPC, Tube , SuperEco ,28.00,Silver-SS,2.50,2403,171.10,0.8,170.30,70.87,2.53,03/10/2022,SPC,45064,Polysquare Guntur
40027,3578,SuEco282.5,SPC, Tube , SuperEco ,28.00,Silver-SS,2.50,2321,162.20,0.8,161.40,69.54,2.48,03/10/2022,SPC,45064,Polysquare Guntur
40028,3574,SuEco282.5,SPC, Tube , SuperEco ,28.00,Silver-SS,2.50,2490,175.20,0.8,174.40,70.04,2.50,03/10/2022,SPC,45064,Polysquare Guntur
40029,7885,SuEco283,SPC, Tube , SuperEco ,28.00,Silver-SS,3.00,1988,167.30,0.8,166.50,83.75,2.99,03/10/2022,Bhavani Enterprises,45005,Polysquare Guntur
40030,6313,Eco422.5,SPC, Tube , Eco ,42.00,Semi Gold-SG,2.50,1500,152.90,4,148.90,99.27,2.36,03/10/2022,Sri Geetha Polymers,44930,Polysquare Guntur
40031,10009,Eco192,SPC, Tube , Eco ,19.00,Semi Gold-SG,2.00,4000,141.10,0.5,140.60,35.15,1.85,03/10/2022,VSR Industries,44856,Polysquare Guntur
40032,10006,Eco192,SPC, Tube , Eco ,19.00,Semi Gold-SG,2.00,4000,148.10,0.5,147.60,36.90,1.94,03/10/2022,VSR Industries,44856,Polysquare Guntur
40033,229,Yarn8400,SPC, Tube , Yarn ,840.00,,,,36.20,1,35.20,,0.00,03/10/2022,Sulthana Traders,45435,Polysquare Guntur
40034,223,Yarn8400,SPC, Tube , Yarn ,840.00,,,,40.40,1,39.40,,0.00,03/10/2022,Sri Lakshmi Enterprises,44947,Polysquare Guntur
40035,202,Yarn8400,SPC, Tube , Yarn ,840.00,,,,39.90,1,38.90,,0.00,03/10/2022,Sri Lakshmi Enterprises,44947,Polysquare Guntur
